timestamp,open,high,low,close,volume
2024-04-14T17:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T18:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T19:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T20:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T21:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T22:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-14T23:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-15T00:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-15T01:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-15T02:30:00+05:30,1.064,1.064,1.06381,1.06381,9.0
2024-04-15T03:30:00+05:30,1.06384,1.06401,1.06357,1.0637,2039.0
2024-04-15T04:30:00+05:30,1.06373,1.06519,1.0637,1.06491,5640.0
2024-04-15T05:30:00+05:30,1.06492,1.06502,1.06436,1.06475,4478.0
2024-04-15T06:30:00+05:30,1.06474,1.06499,1.06435,1.06457,6104.0
2024-04-15T07:30:00+05:30,1.06455,1.06509,1.06393,1.06507,4127.0
2024-04-15T08:30:00+05:30,1.06507,1.0655,1.06491,1.06507,2925.0
2024-04-15T09:30:00+05:30,1.06506,1.06539,1.06476,1.06517,2003.0
2024-04-15T10:30:00+05:30,1.06516,1.06542,1.06472,1.06527,3868.0
2024-04-15T11:30:00+05:30,1.06529,1.06591,1.06507,1.06569,3917.0
2024-04-15T12:30:00+05:30,1.0657,1.06651,1.06518,1.06542,11480.0
2024-04-15T13:30:00+05:30,1.0654,1.06612,1.06501,1.06579,13289.0
2024-04-15T14:30:00+05:30,1.06578,1.0662,1.0654,1.06575,7587.0
2024-04-15T15:30:00+05:30,1.06576,1.06627,1.06537,1.06557,6719.0
2024-04-15T16:30:00+05:30,1.06558,1.066,1.06517,1.06581,4732.0
2024-04-15T17:30:00+05:30,1.06579,1.06654,1.06518,1.06563,6223.0
2024-04-15T18:30:00+05:30,1.06563,1.06576,1.06312,1.06535,20240.0
2024-04-15T19:30:00+05:30,1.06536,1.06609,1.06341,1.06372,15373.0
2024-04-15T20:30:00+05:30,1.0637,1.06378,1.0622,1.06258,18661.0
2024-04-15T21:30:00+05:30,1.06258,1.06451,1.06227,1.06445,11055.0
2024-04-15T22:30:00+05:30,1.06444,1.06476,1.06339,1.0634,5272.0
2024-04-15T23:30:00+05:30,1.06339,1.06396,1.06233,1.06288,7245.0
2024-04-16T00:30:00+05:30,1.06287,1.06317,1.06237,1.06254,5137.0
2024-04-16T01:30:00+05:30,1.06255,1.06273,1.06205,1.06253,4858.0
2024-04-16T02:30:00+05:30,1.06253,1.06271,1.0621,1.06249,2366.0
2024-04-16T03:30:00+05:30,1.0627,1.06271,1.06236,1.06263,2388.0
2024-04-16T04:30:00+05:30,1.06262,1.06281,1.06257,1.06272,749.0
2024-04-16T05:30:00+05:30,1.06272,1.06286,1.06222,1.06224,2190.0
2024-04-16T06:30:00+05:30,1.06226,1.06257,1.06182,1.06189,4024.0
2024-04-16T07:30:00+05:30,1.06189,1.06194,1.06073,1.06156,7600.0
2024-04-16T08:30:00+05:30,1.06155,1.06168,1.06063,1.061,4622.0
2024-04-16T09:30:00+05:30,1.06101,1.06126,1.06072,1.06125,2310.0
2024-04-16T10:30:00+05:30,1.06123,1.06148,1.06102,1.06144,1508.0
2024-04-16T11:30:00+05:30,1.06144,1.06207,1.06138,1.06201,3420.0
2024-04-16T12:30:00+05:30,1.06199,1.06199,1.06025,1.06134,8629.0
2024-04-16T13:30:00+05:30,1.06133,1.06229,1.06117,1.06187,13419.0
2024-04-16T14:30:00+05:30,1.06184,1.06249,1.06127,1.06217,14451.0
2024-04-16T15:30:00+05:30,1.06217,1.06351,1.06168,1.06303,12502.0
2024-04-16T16:30:00+05:30,1.06301,1.06325,1.06233,1.06266,6376.0
2024-04-16T17:30:00+05:30,1.06265,1.06474,1.06259,1.06417,8904.0
2024-04-16T18:30:00+05:30,1.06418,1.06537,1.06344,1.06384,13621.0
2024-04-16T19:30:00+05:30,1.06384,1.0644,1.06277,1.06282,22683.0
2024-04-16T20:30:00+05:30,1.06283,1.0645,1.06283,1.06318,20423.0
2024-04-16T21:30:00+05:30,1.06318,1.06395,1.06219,1.06266,14613.0
2024-04-16T22:30:00+05:30,1.06268,1.06284,1.06189,1.06242,10614.0
2024-04-16T23:30:00+05:30,1.06242,1.06249,1.06013,1.06176,17724.0
2024-04-17T00:30:00+05:30,1.06174,1.06352,1.06162,1.06295,20285.0
