stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714412400000000000,1714412400000000000,1.07263,1.07265,1.07245,1.07252,287.0,2024-04-29 17:40:00+00:00,2024-04-29 17:40:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1714412700000000000,1714412700000000000,1.07252,1.07255,1.0724,1.07245,243.0,2024-04-29 17:45:00+00:00,2024-04-29 17:45:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714412700000000000,1714412700000000000,1.0725,1.07254,1.07237,1.07244,451.0,2024-04-29 17:45:00+00:00,2024-04-29 17:45:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1714413000000000000,1714413000000000000,1.07245,1.07246,1.07221,1.07226,217.0,2024-04-29 17:50:00+00:00,2024-04-29 17:50:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714413000000000000,1714413000000000000,1.07243,1.07244,1.0722,1.07224,505.0,2024-04-29 17:50:00+00:00,2024-04-29 17:50:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1714413300000000000,1714413300000000000,1.07228,1.07229,1.07214,1.07221,286.0,2024-04-29 17:55:00+00:00,2024-04-29 17:55:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714413300000000000,1714413300000000000,1.07225,1.07227,1.07213,1.0722,377.0,2024-04-29 17:55:00+00:00,2024-04-29 17:55:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1714413600000000000,1714413600000000000,1.07222,1.07225,1.072,1.07208,528.0,2024-04-29 18:00:00+00:00,2024-04-29 18:00:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714413600000000000,1714413600000000000,1.0722,1.07223,1.07199,1.07206,371.0,2024-04-29 18:00:00+00:00,2024-04-29 18:00:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1714413900000000000,1714413900000000000,1.07206,1.0723,1.07202,1.07214,798.0,2024-04-29 18:05:00+00:00,2024-04-29 18:05:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1714413900000000000,1714413900000000000,1.07205,1.07228,1.072,1.07212,551.0,2024-04-29 18:05:00+00:00,2024-04-29 18:05:00+00:00
